Player,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
Alejandro Pozuelo,M,16,15,1355,7,8,44,22,1,02-Feb,7,0,0.46,15.9
Jozy Altidore,F,9,6,616,5,3,19,11,2,0/0,3,2,0.73,26.3
Nick DeLeon,M,19,15,1290,4,3,31,14,0,0/0,1,3,0.28,12.9
Jordan Hamilton,F,14,7,623,4,0,23,12,1,0/0,4,0,0.58,17.4
Jonathan Osorio,M,13,12,1061,3,4,17,8,1,0/1,2,1,0.25,17.6
Jay Chapman,M,16,4,477,2,2,6,2,0,0/0,1,1,0.38,33.3
Michael Bradley,M,12,12,1080,2,2,10,2,1,0/0,0,2,0.17,20
Ayo Akinola,F,8,2,253,1,1,8,3,0,0/0,1,0,0.36,12.5
Richie Laryea,M,10,10,801,1,1,9,2,0,0/0,1,0,0.11,11.1
Tsubasa Endoh,M-F,3,3,236,1,0,4,3,0,0/0,1,0,0.38,25
Justin Morrow,D,19,17,1585,0,3,12,3,0,0/0,0,0,0,0
Auro,D,10,9,777,0,2,8,3,0,0/0,0,0,0,0
Marky Delgado,M,17,17,1475,0,2,25,4,0,0/0,0,0,0,0
Ryan Telfer,F,1,0,3,0,1,0,0,0,0/0,0,0,0,0
Jacob Shaffelburg,M,4,3,298,0,1,3,0,0,0/0,0,0,0,0
Chris Mavinga,D,13,13,1112,0,1,3,2,0,0/0,0,0,0,0
Liam Fraser,M,8,8,720,0,1,6,1,0,0/0,0,0,0,0
Laurent Ciman,D,12,11,965,0,1,9,2,0,0/0,0,0,0,0
Ashtone Morgan,D,4,3,201,0,0,0,0,0,0/0,0,0,0,0
Gregory van der Wiel,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0
Jon Bakero,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0
Aidan Daniels,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0
Julian Dunn,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0
Noble Okello,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0
Griffin Dorsey,M,1,0,3,0,0,0,0,0,0/0,0,0,0,0
Drew Moor,D,10,10,900,0,0,1,1,0,0/0,0,0,0,0
Terrence Boyd,F,11,3,339,0,0,4,2,0,0/0,0,0,0,0
Eriq Zavaleta,D,13,10,901,0,0,5,1,0,0/0,0,0,0,0
